symbol,entry_num,entry_timestamp,exit_timestamp,side,option_symbol,strike,qty,entry_price,exit_price,PnL,delta,gamma,theta,vega,iv
NIFTY,1,2026-02-26 12:45,2026-02-27 11:45,BUY,NIFTY02MAR2625400CE,25400.0,195,133.2,113.2,-3899.9999999999973,0.6568,0.001825,-13.81,9.8,0.0756
NIFTY,1,2026-02-26 12:45,2026-03-09 11:45,BUY,NIFTY10MAR2626000CE,26000.0,390,0.5228080568720379,0.5228080568720379,0.0,0.0239,0.000244,-0.71,2.59,0.05
NIFTY,1,2026-02-26 12:45,2026-02-27 11:45,SELL,NIFTY02MAR2625600CE,25600.0,585,85.9,68.55,10149.750000000005,-0.2911,-0.001597,11.22,-9.14,0.0806
NIFTY,2,2026-03-05 12:45,2026-03-09 11:45,BUY,NIFTY10MAR2624600CE,24600.0,195,213.75,203.15,-2066.999999999999,0.5613,0.000868,-21.63,11.37,0.1575
NIFTY,2,2026-03-05 12:45,2026-03-16 11:45,BUY,NIFTY17MAR2625200CE,25200.0,390,59.93836090628672,59.93836090628672,0.0,0.0159,0.000178,-0.48,1.78,0.05
NIFTY,2,2026-03-05 12:45,2026-03-09 11:45,SELL,NIFTY10MAR2624800CE,24800.0,585,161.85,151.55,6025.49999999999,-0.3737,-0.000936,17.82,-10.92,0.1404
NIFTY,4,2026-03-19 12:45,2026-03-19 14:15,BUY,NIFTY24MAR2623200CE,23200.0,195,236.95,221.75,-2963.9999999999977,0.6003,0.000927,-19.87,10.52,0.1531
NIFTY,4,2026-03-19 12:45,2026-03-19 14:15,BUY,NIFTY30MAR2623600CE,23600.0,390,208.85,207.85,-390.0,0.315,0.00068,-10.41,14.35,0.1292
NIFTY,4,2026-03-19 12:45,2026-03-19 14:15,SELL,NIFTY24MAR2623400CE,23400.0,585,183.65,172.2,6698.25000000001,-0.4197,-0.000851,20.58,-10.64,0.1686
